disc_facility,pl_name,Name,Link,Established,Location,geolocation,type,note
Apache Point Observatory,2,Apache Point Observatory,https://en.wikipedia.org/wiki/Apache_Point_Observatory,1985,"Sunspot, New Mexico, US","(32.7892103, -105.81857)",earth,
Arecibo Observatory,3,Arecibo Observatory,https://en.wikipedia.org/wiki/Arecibo_Observatory,1963,"Arecibo, Puerto Rico, US","(18.4047499, -66.6810353)",earth,
Calar Alto Observatory,29,Calar Alto Observatory,https://en.wikipedia.org/wiki/Calar_Alto_Observatory,1975,"Almería, Spain","(36.8414197, -2.4628135)",earth,
Cerro Tololo Inter-American Observatory,5,Cerro Tololo Inter-American Observatory,https://en.wikipedia.org/wiki/Cerro_Tololo_Inter-American_Observatory,1962,"Atacama Desert, Chile","(-24.5563029, -69.4226479)",earth,
Fred Lawrence Whipple Observatory,6,Fred Lawrence Whipple Observatory,https://en.wikipedia.org/wiki/Fred_Lawrence_Whipple_Observatory,1968,"Mount Hopkins, Arizona, US","(31.6890556, -110.884703)",earth,
Gemini Observatory,13,Gemini Observatory,https://en.wikipedia.org/wiki/Gemini_Observatory,1999.0,"Southern Operations Center:La Serena, Chile; Northern Operations Center:Hilo, Hawaii, US","(None, None)",,
Haleakala Observatory,2,Haleakala Observatory,https://en.wikipedia.org/wiki/Haleakala_Observatory,,"Maui, Hawaii, US","(20.8029568, -156.3106833)",earth,
Haute-Provence Observatory,69,Haute-Provence Observatory,https://en.wikipedia.org/wiki/Haute-Provence_Observatory,1937,"Alpes-de-Haute-Provence, France","(44.1640832, 6.1878515)",earth,
Hubble Space Telescope,6,Hubble Space Telescope,https://en.wikipedia.org/wiki/Hubble_Space_Telescope,1990,Low Earth orbit,"(None, None)",space,
Kitt Peak National Observatory,1,Kitt Peak National Observatory,https://en.wikipedia.org/wiki/Kitt_Peak_National_Observatory,1958,"Tucson, Arizona, US","(32.2228765, -110.974847)",earth,
La Silla Observatory,303,La Silla Observatory,https://en.wikipedia.org/wiki/La_Silla_Observatory,1969,"Atacama Desert, Chile","(-24.5563029, -69.4226479)",earth,
